Behruz
Mansurov
c78887968fdd2ac9be50a8c5454eee6f
[1.3.2020 | 14:6:12] {"type":"cmd","data":"run"}
,[1.3.2020 | 14:6:21] {"client-id":"e444eaaa-848f-42a7-9d24-9a107c27f7b0","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16416,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[1.3.2020 | 14:6:21] {"client-id":"e444eaaa-848f-42a7-9d24-9a107c27f7b0","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16416,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[1.3.2020 | 14:6:21] {"client-id":"e444eaaa-848f-42a7-9d24-9a107c27f7b0","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16416,"gpioe":1024,"modeltime":0,"type":"gpio"}
,[1.3.2020 | 14:6:21] {"client-id":"e444eaaa-848f-42a7-9d24-9a107c27f7b0","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[1.3.2020 | 14:6:21] {"client-id":"e444eaaa-848f-42a7-9d24-9a107c27f7b0","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[1.3.2020 | 14:6:21] {"client-id":"e444eaaa-848f-42a7-9d24-9a107c27f7b0","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[1.3.2020 | 14:6:21] {"client-id":"e444eaaa-848f-42a7-9d24-9a107c27f7b0","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[1.3.2020 | 14:6:21] {"client-id":"e444eaaa-848f-42a7-9d24-9a107c27f7b0","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[1.3.2020 | 14:6:21] {"client-id":"e444eaaa-848f-42a7-9d24-9a107c27f7b0","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[1.3.2020 | 14:6:21] {"client-id":"e444eaaa-848f-42a7-9d24-9a107c27f7b0","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[1.3.2020 | 14:6:21] {"client-id":"e444eaaa-848f-42a7-9d24-9a107c27f7b0","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[1.3.2020 | 14:6:22] {"client-id":"e444eaaa-848f-42a7-9d24-9a107c27f7b0","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8544,"gpioe":256,"modeltime":0,"type":"gpio"}
,[1.3.2020 | 14:6:22] {"client-id":"e444eaaa-848f-42a7-9d24-9a107c27f7b0","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8544,"gpioe":256,"modeltime":0,"type":"gpio"}
,[1.3.2020 | 14:6:22] {"client-id":"e444eaaa-848f-42a7-9d24-9a107c27f7b0","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8560,"gpioe":256,"modeltime":0,"type":"gpio"}
,[1.3.2020 | 14:6:22] {"client-id":"e444eaaa-848f-42a7-9d24-9a107c27f7b0","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8560,"gpioe":256,"modeltime":0,"type":"gpio"}
,[1.3.2020 | 14:6:22] {"client-id":"e444eaaa-848f-42a7-9d24-9a107c27f7b0","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8560,"gpioe":256,"modeltime":0,"type":"gpio"}
